Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
Godzilla vs. Kong,False,"['Action', 'Science Fiction']",200000000,15798.548,8.5,3622,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",One Will Fall,285400000,2021-03-24,113,en
Zack Snyder's Justice League,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",70000000,5584.041,8.6,4557,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",,0,2021-03-18,242,en
Raya and the Last Dragon,False,"['Animation', 'Adventure', 'Fantasy', 'Family', 'Action']",0,2961.537,8.3,2066,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",A quest to save her world.,56482606,2021-03-03,107,en
Wonder Woman 1984,False,"['Fantasy', 'Action', 'Adventure']",200000000,1818.337,6.8,4695,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,A new era of wonder begins.,165160000,2020-12-16,151,en
Monster Hunter,False,"['Fantasy', 'Action', 'Adventure']",60000000,1701.854,7.1,1368,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.","Behind our world, there is another.",25814306,2020-12-03,104,en
Bajocero,False,"['Action', 'Crime', 'Thriller']",0,1650.8,6.4,496,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",Escape is not the exit.,0,2021-01-29,106,es
승리호,False,"['Drama', 'Fantasy', 'Science Fiction']",21000000,1649.835,7.2,468,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.","2092, the space sweep begins!",0,2021-02-05,136,ko
Sentinelle,False,"['Thriller', 'Action', 'Drama']",0,1614.948,6.0,309,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",,0,2021-03-05,80,fr
Tom & Jerry,False,"['Action', 'Comedy', 'Family', 'Animation']",50000000,2009.347,7.4,1120,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",Best of enemies. Worst of friends.,66890000,2021-02-11,101,en
Cherry,False,"['Crime', 'Drama']",40000000,1590.13,7.6,455,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",Life leaves a mark.,0,2021-02-26,140,en
Black Water: Abyss,False,"['Horror', 'Thriller', 'Adventure', 'Mystery']",0,1081.25,5.0,179,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",Descend into fear,0,2020-07-09,98,en
The Little Things,False,"['Thriller', 'Crime']",30000000,1072.389,6.4,708,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",Some things never let us go.,23205000,2021-01-28,128,en
Red Dot,False,"['Drama', 'Thriller', 'Horror']",0,1058.577,6.0,412,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",,0,2021-02-11,100,sv
Outside the Wire,False,"['Thriller', 'Action', 'Science Fiction', 'Fantasy']",0,1140.462,6.5,952,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",Defiant by design.,0,2021-01-15,116,en
백두산,False,"['Action', 'Adventure', 'Thriller']",17700000,983.663,6.5,225,"Stagnant since 1903, at an elevation of 9000', a volcano erupts on the mythical and majestic Baekdu Mountain.",,61321941,2019-12-19,128,ko
"Miraculous World: New York, United HeroeZ",False,"['Animation', 'Family']",0,1202.685,8.3,590,"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",NEW CITY. SAME DUTY.,0,2020-09-26,55,fr
Breach,False,"['Science Fiction', 'Action']",0,903.355,4.6,351,"A hardened mechanic must stay awake and maintain an interstellar ark fleeing the dying planet Earth with a few thousand lucky souls on board... the last of humanity. Unfortunately, humans are not the only passengers. A shapeshifting alien creature has taken residence, its only goal is to kill as many people as possible. The crew must think quickly to stop this menace before it destroys mankind.",Deep in space they are not alone.,39328,2020-12-17,92,en
Skylines,False,"['Science Fiction', 'Action']",0,946.664,5.9,249,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",To save our world she must invade theirs.,0,2020-10-25,113,en
Wrong Turn,False,"['Horror', 'Thriller']",0,833.145,6.2,330,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",This land is their land.,0,2021-01-26,110,en
急先锋,False,"['Action', 'Adventure', 'Crime']",0,872.474,6.2,275,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,,27900000,2020-09-30,107,zh
Jiu Jitsu,False,"['Fantasy', 'Action', 'Science Fiction']",23000000,854.856,5.2,355,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","From the darkness, the ultimate fighter rises.",99924,2020-11-20,102,en
The Croods: A New Age,False,"['Family', 'Fantasy', 'Animation', 'Comedy']",65000000,1041.759,7.5,1904,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",The future ain't what it used to be.,135076090,2020-11-25,95,en
