Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
,,,,,,,,,,,,
Raya and the Last Dragon,FALSE,"['Animation', 'Adventure', 'Fantasy', 'Family', 'Action']",100000000,3581.218,8.5,1387,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",A quest to save her world.,54500000,3/3/2021,107,en
,,,,,,,,,,,,
Sentinelle,FALSE,"['Thriller', 'Action', 'Drama']",0,2444.015,6.1,212,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",,0,3/5/2021,80,fr
,,,,,,,,,,,,
Tom & Jerry,FALSE,"['Action', 'Comedy', 'Family', 'Animation']",50000000,1984.233,7.5,872,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",Best of enemies. Worst of friends.,66890000,2/11/2021,101,en
,,,,,,,,,,,,
Bajocero,FALSE,"['Action', 'Crime', 'Thriller']",0,1946.224,6.4,447,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",Escape is not the exit.,0,1/29/2021,106,es
,,,,,,,,,,,,
Monster Hunter,FALSE,"['Fantasy', 'Action', 'Adventure']",60000000,1837.655,7.2,1161,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.","Behind our world, there is another.",25814306,12/3/2020,104,en
,,,,,,,,,,,,
Wonder Woman 1984,FALSE,"['Fantasy', 'Action', 'Adventure']",200000000,1630.787,6.8,4314,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,A new era of wonder begins.,159533000,12/16/2020,151,en
,,,,,,,,,,,,
Zack Snyder's Justice League,FALSE,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",70000000,1564.951,8.9,1531,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",,0,3/18/2021,242,en
,,,,,,,,,,,,
승리호,FALSE,"['Drama', 'Fantasy', 'Science Fiction']",21000000,1446.412,7.3,391,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.","2092, the space sweep begins!",0,2/5/2021,136,ko
,,,,,,,,,,,,
Coming 2 America,FALSE,['Comedy'],60000000,1269.256,7,898,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",A sequel is in the heir.,0,3/5/2021,110,en
,,,,,,,,,,,,
Outside the Wire,FALSE,"['Thriller', 'Action', 'Science Fiction']",0,932.585,6.5,865,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",Defiant by design.,0,1/15/2021,116,en
,,,,,,,,,,,,
Red Dot,FALSE,"['Drama', 'Thriller']",0,898.935,6.2,356,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",,0,2/11/2021,86,sv
,,,,,,,,,,,,
The Little Things,FALSE,"['Thriller', 'Crime']",30000000,881.897,6.4,597,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",Some things never let us go.,23205000,1/28/2021,128,en
,,,,,,,,,,,,
Black Water: Abyss,FALSE,"['Horror', 'Thriller', 'Adventure', 'Mystery']",0,836.621,5,165,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",Descend into fear,0,7/9/2020,98,en
,,,,,,,,,,,,
Breach,FALSE,"['Science Fiction', 'Action']",0,809.73,4.5,311,"A hardened mechanic must stay awake and maintain an interstellar ark fleeing the dying planet Earth with a few thousand lucky souls on board... the last of humanity. Unfortunately, humans are not the only passengers. A shapeshifting alien creature has taken residence, its only goal is to kill as many people as possible. The crew must think quickly to stop this menace before it destroys mankind.",Deep in space they are not alone.,0,12/17/2020,92,en
,,,,,,,,,,,,
Jiu Jitsu,FALSE,"['Fantasy', 'Action', 'Science Fiction']",23000000,765.502,5.3,327,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","From the darkness, the ultimate fighter rises.",99924,11/20/2020,102,en
,,,,,,,,,,,,
After We Collided,FALSE,"['Romance', 'Drama']",0,759.65,7.3,3452,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,Can love overcome the past?,0,9/2/2020,105,en
,,,,,,,,,,,,
Godzilla vs. Kong,FALSE,"['Action', 'Science Fiction']",200000000,749.035,0,0,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",One Will Fall,0,3/24/2021,113,en
,,,,,,,,,,,,
"Miraculous World: New York, United HeroeZ",FALSE,"['Animation', 'Family']",0,701.338,8.4,502,"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",NEW CITY. SAME DUTY.,0,9/26/2020,55,fr
,,,,,,,,,,,,
Skylines,FALSE,"['Science Fiction', 'Action']",0,682.485,6,227,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",To save our world she must invade theirs.,0,10/25/2020,113,en
,,,,,,,,,,,,
Wrong Turn,FALSE,"['Horror', 'Thriller']",0,667.858,6.3,261,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",This land is their land.,0,1/26/2021,110,en
,,,,,,,,,,,,
Cherry,FALSE,"['Crime', 'Drama']",0,654.881,8.1,274,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",Life leaves a mark.,0,2/26/2021,140,en
,,,,,,,,,,,,
Aquaslash,FALSE,"['Horror', 'Comedy']",0,654.122,4.3,24,"To celebrate their graduation, the teenagers from Valley Hills High School have organized an ’80s-themed party at the old Wet Valley water park. Things turn gruesome when it's revealed that a mysterious maniac has inserted giant razor blades into one of the water slides. The water park thus becomes the backdrop for a bloodbath (literally), and everyone is a suspect...",Your killer vacation awaits,0,7/29/2019,72,en
,,,,,,,,,,,,
急先锋,FALSE,"['Action', 'Adventure', 'Crime']",0,652.044,6.3,244,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,,27900000,9/30/2020,107,zh
,,,,,,,,,,,,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),FALSE,"['Action', 'Crime']",75000000,645.658,7.1,7135,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Mind Over Mayhem,201858461,2/5/2020,109,en
,,,,,,,,,,,,
Mortal Kombat Legends: Scorpion's Revenge,FALSE,"['Fantasy', 'Action', 'Adventure', 'Animation']",0,642.094,8.4,797,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",,0,4/12/2020,80,en
,,,,,,,,,,,,
The Croods: A New Age,FALSE,"['Family', 'Fantasy', 'Animation', 'Comedy']",65000000,632.643,7.5,1745,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",The future ain't what it used to be.,135076090,11/25/2020,95,en
,,,,,,,,,,,,
Soul,FALSE,"['Family', 'Animation', 'Comedy', 'Drama', 'Music', 'Fantasy']",150000000,631.76,8.3,5284,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Is all this living really worth dying for?,57400000,12/25/2020,101,en
,,,,,,,,,,,,
Barb and Star Go to Vista Del Mar,FALSE,['Comedy'],0,618.498,0,0,"The story of best friends Barb and Star, who leave their small midwestern town for the first time to go on vacation in Vista Del Mar, Florida, where they soon find themselves tangled up in adventure, love, and a villain’s evil plot to kill everyone in town.",The friendship we all want. The vacation we all need,0,3/31/2021,107,en
,,,,,,,,,,,,
백두산,FALSE,"['Action', 'Adventure', 'Thriller']",17700000,618.118,6.5,214,"Stagnant since 1903, at an elevation of 9000', a volcano erupts on the mythical and majestic Baekdu Mountain.",,61321941,12/19/2019,128,ko
,,,,,,,,,,,,
Pacto de fuga,FALSE,"['Drama', 'Thriller']",0,560.449,8.1,47,"During the last years of Pinochet's military regime,  a group of militants from the ""Manuel Rodríguez Patriotic Front"" plan a prison break of political prisoners, through a tunnel that will take them 18 months to dig.",,0,1/23/2020,138,es
,,,,,,,,,,,,
Yes Day,FALSE,"['Comedy', 'Family']",0,514.525,7.1,229,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,"For 24 hours, kids make the rules.",0,3/12/2021,86,en
,,,,,,,,,,,,
Ava,FALSE,"['Action', 'Crime', 'Drama', 'Thriller']",0,510.556,5.6,1378,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,Kill. Or be killed.,2987741,7/2/2020,97,en
,,,,,,,,,,,,
Honest Thief,FALSE,"['Thriller', 'Action', 'Crime', 'Drama']",0,487.649,6.6,674,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",Never steal a man's second chance.,29404235,9/3/2020,99,en
,,,,,,,,,,,,
Tenet,FALSE,"['Action', 'Thriller', 'Science Fiction']",205000000,474.155,7.3,4722,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Time runs out.,363129000,8/22/2020,150,en
,,,,,,,,,,,,
Scooby-Doo! The Sword and the Scoob,FALSE,"['Animation', 'Comedy', 'Family', 'Mystery', 'Adventure']",0,473.563,7.8,48,"An evil sorceress transports the gang back to the age of chivalrous knights, spell-casting wizards, and fire-breathing dragons.","Mystery, inc. is back!",0,2/22/2021,72,en
,,,,,,,,,,,,
