Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage
Broccoli Boy,False,['Drama'],500000000,0.0,0.0,0,Best movie ever,HEHE,0,2099-04-01,999,en,"[['Marvel Studios', 'US']]",[],[]
Sędziowie. Tragedya,False,[],0,0.6,0.0,0,An old man appears in Samuel's inn and seek revenge on the owner.,,0,2074-11-29,51,en,[],['PL'],['pl']
Tora! Tora! Tora!,False,"['Drama', 'History', 'War']",25485000,10.773,7.1,337,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",The incredible attack on Pearl Harbor.,29548291,1970-01-26,144,en,"[['20th Century Fox', 'US']]","['JP', 'US']","['en', 'ja']"
Beyim ve Ben,False,"['Mystery', 'Drama', 'Horror', 'Family']",100,0.6,0.0,0,"My Lord and Me ""Do not pity, beat me, my lord!""","Do not pity, beat me, my lord!",200,2030-09-12,500,en,"[['Zindan Film', '']]","['NI', 'US']","['en', 'ku', 'tr']"
Cheddy Rang,False,"['Crime', 'Action', 'Drama', 'Comedy']",0,0.6,0.0,0,Upcoming Film from Anthony Prieto,,0,2030-06-11,0,en,[],[],[]
Dhumketu,False,[],0,0.94,0.0,0,"Megh is a married person, who works as manager of a tea estate in North Sikkim. In a certain crisis he became jobless and struggles to make ends problems of his life because there are not many options for livelihood around in the hills. He fights to bring back joy into his family's life.",,0,2029-12-20,0,en,"[['DCM INDIA', '']]",['IN'],['bn']
Shooting the Mafia,False,"['Documentary', 'History']",0,6.874,7.0,14,"Sicilian photojournalist Letizia Battaglia began a long battle against the ruthless Cosa Nostra when she first photographed the sinister scene of a brutal murder. Documenting the barbaric rule of the Italian Mafia, she was an unwavering witness to its crimes. His art and courage helped end the horrific and bloody reign of the Corleonesi clan.",,0,2019-11-22,94,en,"[['Lunar Pictures', 'IE'], ['Screen Ireland', 'IE'], ['Impact Partners', 'US']]","['IE', 'US']","['it', 'en']"
Avatar 5,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,5.653,0.0,0,,,0,2028-12-20,0,en,"[['Lightstorm Entertainment', 'US'], ['20th Century Studios', 'US']]",['US'],['en']
Egon Schiele,False,"['Documentary', 'History', 'TV Movie']",0,0.61,0.0,0,"An account of the short life and the astonishing and provocative work of the Austrian painter Egon Schiele (1890-1918), seen through the peculiar point of view and the critic voices of the women who defined the paramount milestones of his existence: Gerti, his sister; Wally, his main model and lover; and Edith, his wife. A brief story of love, hate, betrayal and misfortune.",,0,2018-11-04,55,de,"[['Vermeer-Film', 'AT'], ['ORF', 'AT'], ['ARTE', 'DE'], ['Metafilm', 'AT']]","['AT', 'DE']","['fr', 'de']"
Untitled Star Wars Film,False,[],0,5.663,0.0,0,,,0,2027-12-17,0,en,"[['Lucasfilm Ltd.', 'US']]",['US'],['en']
Avatar 4,False,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",0,7.783,0.0,0,,,0,2026-12-16,0,en,"[['Lightstorm Entertainment', 'US'], ['20th Century Studios', 'US']]",['US'],['en']
Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage
Broccoli Boy,False,['Drama'],500000000,0.0,0.0,0,Best movie ever,HEHE,0,2099-04-01,999,en,"[['Marvel Studios', 'US']]",[],[]
Sędziowie. Tragedya,False,[],0,0.6,0.0,0,An old man appears in Samuel's inn and seek revenge on the owner.,,0,2074-11-29,51,en,[],['PL'],['pl']
Tora! Tora! Tora!,False,"['Drama', 'History', 'War']",25485000,10.773,7.1,337,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",The incredible attack on Pearl Harbor.,29548291,1970-01-26,144,en,"[['20th Century Fox', 'US']]","['JP', 'US']","['en', 'ja']"
Beyim ve Ben,False,"['Mystery', 'Drama', 'Horror', 'Family']",100,0.6,0.0,0,"My Lord and Me ""Do not pity, beat me, my lord!""","Do not pity, beat me, my lord!",200,2030-09-12,500,en,"[['Zindan Film', '']]","['NI', 'US']","['en', 'ku', 'tr']"
Cheddy Rang,False,"['Crime', 'Action', 'Drama', 'Comedy']",0,0.6,0.0,0,Upcoming Film from Anthony Prieto,,0,2030-06-11,0,en,[],[],[]
Dhumketu,False,[],0,0.94,0.0,0,"Megh is a married person, who works as manager of a tea estate in North Sikkim. In a certain crisis he became jobless and struggles to make ends problems of his life because there are not many options for livelihood around in the hills. He fights to bring back joy into his family's life.",,0,2029-12-20,0,en,"[['DCM INDIA', '']]",['IN'],['bn']
Shooting the Mafia,False,"['Documentary', 'History']",0,6.874,7.0,14,"Sicilian photojournalist Letizia Battaglia began a long battle against the ruthless Cosa Nostra when she first photographed the sinister scene of a brutal murder. Documenting the barbaric rule of the Italian Mafia, she was an unwavering witness to its crimes. His art and courage helped end the horrific and bloody reign of the Corleonesi clan.",,0,2019-11-22,94,en,"[['Lunar Pictures', 'IE'], ['Screen Ireland', 'IE'], ['Impact Partners', 'US']]","['IE', 'US']","['it', 'en']"
Avatar 5,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,5.653,0.0,0,,,0,2028-12-20,0,en,"[['Lightstorm Entertainment', 'US'], ['20th Century Studios', 'US']]",['US'],['en']
Egon Schiele,False,"['Documentary', 'History', 'TV Movie']",0,0.61,0.0,0,"An account of the short life and the astonishing and provocative work of the Austrian painter Egon Schiele (1890-1918), seen through the peculiar point of view and the critic voices of the women who defined the paramount milestones of his existence: Gerti, his sister; Wally, his main model and lover; and Edith, his wife. A brief story of love, hate, betrayal and misfortune.",,0,2018-11-04,55,de,"[['Vermeer-Film', 'AT'], ['ORF', 'AT'], ['ARTE', 'DE'], ['Metafilm', 'AT']]","['AT', 'DE']","['fr', 'de']"
Untitled Star Wars Film,False,[],0,5.663,0.0,0,,,0,2027-12-17,0,en,"[['Lucasfilm Ltd.', 'US']]",['US'],['en']
Avatar 4,False,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",0,7.783,0.0,0,,,0,2026-12-16,0,en,"[['Lightstorm Entertainment', 'US'], ['20th Century Studios', 'US']]",['US'],['en']
Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage
Babylon,False,['Drama'],0,3.54,0.0,0,"Set in Hollywood during the transition from silent films to talkies, focusing on a mixture of historical and fictional characters. Plot unknown.",,0,2022-12-25,0,en,"[['Paramount', 'US'], ['Marc Platt Productions', 'US'], ['Material Pictures', 'US']]",['US'],['en']
O nepotřebných věcech a lidech,False,"['Animation', 'Drama', 'Family', 'Fantasy']",0,0.6,0.0,0,"A writer - sympathetic older man with a beard and red glasses - had kids at an older age than usual. As they run around the house, he wonders. What if he dies before they grow up? Can he leave something to them? He sets to write: about a man who finds a thrown-away book able to bring the reader back in time... About two boys who discover a hut that nobody wants, where fantastic monsters used to live... About two orphans and their strange aunt who turns into a cat when no one sees her... About a lonely man who knows how to fly and becomes king of birds... Maybe kids will learn from these stories that have one thing in common - they're all about the hidden value “Of Unwanted Things and People”.",,0,2023-01-01,80,cs,"[['MAUR film', 'CZ'], ['Artichoke', 'SK'], ['WJTeam/Likaon', 'PL'], ['ZVVIKS', 'SI']]","['CZ', 'PL', 'SK', 'SI']",['cs']
Bluebeard,False,"['Horror', 'Thriller']",0,0.963,0.0,0,"A woman marries the man of her dreams only to find herself trapped in a nightmare, in this Gothic thriller inspired by the classic fairytale Bluebeard.",,0,2023-01-01,0,en,[],[],[]
Untitled Laika Project,False,['Animation'],0,1.467,0.0,0,An upcoming animated film by Laika.,,0,2023-01-01,0,en,"[['Laika Entertainment', 'US']]",[],[]
Before Memory,False,['Thriller'],0,2.059,0.0,0,A man suffering from amnesia teams up with a young girl to assist the FBI in solving the serial murders of eight young girls while struggling with flashbacks that suggest he may be the killer.,The truth will find you,0,2023-01-01,0,en,[],[],['en']
Jeruzalem 2,False,['Horror'],0,3.756,0.0,0,"The sequel picks up ten years later and the Israeli army have placed a concrete dome over Jerusalem's Old City. One man is trying to locate his daughter, who has seemingly joined a religious cult that operates inside of the dome.",,0,2023-01-01,0,en,[],[],[]
Shrew’s Nest,False,['Thriller'],0,2.547,0.0,0,Remake of the 2014 Juanfer Andres-Esteban Roel Spanish movie.,,0,2022-12-31,0,en,"[['Weed Road Pictures', 'US'], ['Gotham Group', 'US'], ['Paramount', 'US']]",['US'],['en']
1984,False,['Drama'],0,3.307,0.0,0,A man struggles to keep his autonomy under an oppressive regime that monitors his every move.,,0,2022-12-31,0,en,"[['Imagine Entertainment', 'US'], ['Sony Pictures', 'US']]",['US'],['en']
The Crooked Man,False,['Horror'],0,3.921,0.0,0,"The movie, a spin-off of The Conjuring franchise, focuses on a character from an English nursery rhyme called ""There Was a Crooked Man"".",,0,2022-12-31,0,en,"[['The Safran Company', 'US'], ['Atomic Monster', 'US'], ['New Line Cinema', 'US']]",['US'],"['en', 'es']"
Мавка: Лісова пісня,False,"['Fantasy', 'Animation', 'Adventure', 'Family', 'Comedy']",5000000,2.667,0.0,0,"Mavka — a Soul of the Forest and its Warden — faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human — the talented young musician Lukas.",,0,2022-12-31,85,uk,"[['Animagrad Animation Studio', 'UA'], ['3Beep', 'US']]",['UA'],['uk']
Krrish 4,False,"['Action', 'Science Fiction']",0,3.648,0.0,0,,,0,2022-12-31,0,hi,"[['Film Kraft', '']]",['IN'],['hi']
Y,False,['Western'],0,3.332,0.0,0,"Set in 1916, an aging cavalryman leads a team of men to hunt down the Mexican revolutionary Pancho Villa. However, after an ambush in which most of the men are killed, the cavalryman must struggle to survive in the desert.",,0,2022-12-31,0,en,"[['The Affleck/Middleton Project', '']]",['US'],['en']
Hello Kitty,False,['Animation'],0,4.499,0.0,0,Plot Unknown. An animated feature film based on the Hello Kitty character.,,0,2022-12-31,0,en,"[['New Line Cinema', 'US'], ['Warner Bros. Pictures', 'US']]",['US'],['en']
Biwi No. 1,False,[],0,1.491,0.0,0,Official remake of film Biwi No 1 (1999).,,0,2022-12-31,0,hi,[],[],['hi']
World War 3,False,"['Action', 'Science Fiction', 'War']",0,4.18,0.0,0,An examination of what the world might look like in the future of the 21st century.,,0,2022-12-31,0,en,"[['BillBlock Media', 'US']]",['US'],['en']
Local Haunts,False,"['Comedy', 'Drama', 'Horror', 'Romance']",0,2.045,0.0,0,"In hopes of hiding in plain sight, three vampiric ladies have made the eerie beach community of Lost Cove their home. As they attempt to reckon with the ever present struggle of immortality, old flames reappear and budding romances arise, all while the rift between the spirit world and ours collides.",,0,2022-12-31,0,en,[],[],[]
Untitled George Carlin Documentary,False,['Documentary'],0,2.713,0.0,0,A documentary about the legendary comedian,,0,2022-12-31,0,en,[],[],[]
Seoul Girls,False,"['Comedy', 'Music']",0,4.392,0.0,0,"A Korean American high school girl and her friends who enter a worldwide talent competition to be the opening act for the world’s biggest K-pop boy band. With help from an ex-member of a British girl group and a former K-pop trainee, the Seoul Girls find their voices on the world’s biggest stage.",,0,2022-12-31,0,en,"[['Lionsgate', 'US'], ['Camp Sugar', ''], ['Monumental Pictures', 'US']]",['US'],['en']
헌트,False,[],0,0.625,0.0,0,,,0,2022-12-31,0,ko,"[['Sanai Pictures', 'KR'], ['Artist Company', 'KR'], ['Megabox Plus M', 'KR']]",['KR'],['ko']
De Volta ao Sítio do Picapau Amarelo,False,"['Fantasy', 'Adventure']",0,0.918,0.0,0,,,0,2022-12-31,0,pt,"[['Clube Filmes', 'BR']]",['BR'],['pt']
World War 3,False,"['Action', 'Science Fiction', 'War']",0,4.18,0.0,0,An examination of what the world might look like in the future of the 21st century.,,0,2022-12-31,0,en,"[['BillBlock Media', 'US']]",['US'],['en']
Shrew’s Nest,False,['Thriller'],0,2.547,0.0,0,Remake of the 2014 Juanfer Andres-Esteban Roel Spanish movie.,,0,2022-12-31,0,en,"[['Weed Road Pictures', 'US'], ['Gotham Group', 'US'], ['Paramount', 'US']]",['US'],['en']
Krrish 4,False,"['Action', 'Science Fiction']",0,3.648,0.0,0,,,0,2022-12-31,0,hi,"[['Film Kraft', '']]",['IN'],['hi']
1984,False,['Drama'],0,3.307,0.0,0,A man struggles to keep his autonomy under an oppressive regime that monitors his every move.,,0,2022-12-31,0,en,"[['Imagine Entertainment', 'US'], ['Sony Pictures', 'US']]",['US'],['en']
Killers of the Flower Moon,False,"['Crime', 'Drama', 'Thriller']",200000000,4.59,0.0,0,The true crime story about multiple murders of members of the Osage Indian tribe in Oklahoma that occurred after they found oil on their lands.,,0,2022-12-31,0,en,"[['Imperative Entertainment', 'US'], ['Apple', 'US'], ['Appian Way', 'US']]",['US'],['en']
ആടുജീവിതം,False,['Drama'],0,1.241,0.0,0,Aadujeevitham about an abused migrant worker in Saudi Arabia this movie base on best seller Novel by the same name,,0,2022-12-30,0,ml,[],['IN'],"['ar', 'ml']"
Inshallah,False,[],0,2.642,0.0,0,A man on a secret mission to weed out anti-national elements from within a family encounters many road blocks before success,,0,2022-12-30,0,hi,[],['IN'],['hi']
The Nightingale,False,"['Drama', 'History', 'War']",0,4.552,0.0,0,The lives of two sisters living in France are torn apart at the onset of World War II.,,0,2022-12-23,0,en,"[['The Cantillon Company', 'US'], ['TriStar Pictures', 'US']]",['US'],['en']
Avatar 2,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Thriller']",387000000,63.074,0.0,0,"Avatar: The Way of Water will once again follow Sam Worthington’s Jake Sully twelve years after exploring Pandora and joining the Na’vi. He has since raised a family with Neytiri, portrayed by Zoe Saldana, and established himself within the clans of the new world. Of course, peace can only last so long. Especially when the military organisation from the original film returns to “finish what they started”.",,0,2022-12-14,0,en,"[['River Road Entertainment', 'US'], ['TSG Entertainment', 'US'], ['20th Century Studios', 'US'], ['Lightstorm Entertainment', 'US']]",['US'],['en']
Aquaman 2,False,"['Adventure', 'Action', 'Fantasy']",0,11.022,0.0,0,A sequel to Aquaman (2018).,,0,2022-12-14,0,en,"[['DC Entertainment', 'US'], ['Warner Bros. Pictures', 'US'], ['DC Comics', 'US'], ['DC Films', 'US']]",['US'],['en']
"Confissões de Uma Garota Excluída, Mal-Amada e (Um Pouco) Dramática",False,"['Comedy', 'Drama']",0,0.913,0.0,0,"The story of Tetê, a young teenager who had to move from her apartment in Barra da Tijuca to her grandparents' house in Copacabana. In addition to losing privacy, Tetê lost her references and will start a new school.",,0,2022-12-15,0,pt,[],['BR'],['pt']
Happy Man,True,"['Horror', 'Thriller']",0,0.6,0.0,0,A Man is pushed to his limits when a perfect family moves in next door changing life as he knew it. Sometimes the perfect neighbor isn't so perfect.,,0,2022-12-02,0,en,"[['Big Beard Mafia', '']]",[],[]
Kayara,False,"['Adventure', 'Animation', 'Family']",8000000,1.866,0.0,0,A young Incan woman dreams of breaking into the male-only group of Chasqui Inca messengers.,,0,2022-12-01,0,en,"[['Tunche Films', '']]",['PE'],[]
"""Jailbirds""",False,"['Crime', 'Action', 'Comedy', 'Thriller']",0,2.134,0.0,0,Upcoming movie from Anthony Prieto,,0,2022-11-25,0,en,[],[],[]
Untitled Disney Animation Studios,False,"['Animation', 'Comedy', 'Family']",0,11.924,0.0,0,,,0,2022-11-23,0,en,"[['Walt Disney Pictures', 'US'], ['Walt Disney Animation Studios', 'US']]",['US'],['en']
Creed III,False,"['Drama', 'Action']",0,6.515,0.0,0,The third installment of Creed franchise.,,0,2022-11-23,0,en,"[['Metro-Goldwyn-Mayer', 'US']]",['US'],['en']
Poor Things,False,"['Romance', 'Comedy']",0,2.43,0.0,0,"A Victorian tale of love, discovery and scientific daring, Poor Things tells the incredible story of Belle Baxter, a young woman brought back to life by an eccentric but brilliant scientist.",,0,2022-11-17,0,en,"[['Searchlight Pictures', 'US']]",[],[]
Spellbound,False,"['Animation', 'Fantasy', 'Music']",0,6.145,0.0,0,"The story of Elian, a teenager who comes of age using her magical powers to defend her family when the opposing forces of light and darkness threaten to divide her kingdom.",,0,2022-11-11,0,en,"[['Skydance Media', 'US'], ['Skydance Animation', 'US']]",['US'],['en']
Captain Marvel 2,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Mystery']",0,48.638,0.0,0,The sequel to Captain Marvel (2019).,,0,2022-11-09,0,en,"[['Marvel Studios', 'US']]",['US'],['en']
Mission: Impossible 8,False,"['Action', 'Adventure', 'Thriller']",0,19.238,0.0,0,,,0,2022-11-02,0,en,"[['Paramount', 'US'], ['Skydance Media', 'US']]",['US'],['en']
Mission: Impossible 8,False,"['Action', 'Adventure', 'Thriller']",0,19.238,0.0,0,,,0,2022-11-02,0,en,"[['Paramount', 'US'], ['Skydance Media', 'US']]",['US'],['en']
The Flash,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",0,85.223,0.0,0,"The Flash travels back in time to prevent the murder of his mother, an act which disrupts time significantly.",,0,2022-11-03,0,en,"[['DC Comics', 'US'], ['DC Entertainment', 'US'], ['Warner Bros. Pictures', 'US'], ['DC Films', 'US']]",['US'],['en']
